fips_code,County,StateName,White_Pct,total_pop,Pct_Margin,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016,less_than_hs,only_hs,associates,bachelor_or_more,less_than_hs_pct,only_hs_pct,associates_pct,bachelor_or_more_pct,male,female,WA_male,WA_female,BA_male,BA_female,IA_male,IA_female,AA_male,AA_female,NA_male,NA_female,TOM_male,TOM_female,WAC_male,WAC_female,BAC_male,BAC_female,Young_Pct,Mid_Pct,Old_Pct,Elderly_Pct,,,Predicted margin,,
37001,Alamance County,NorthCarolina,0.7356305565,169509,13.08,64353,28918,34859,576,66638,28341,37712,585,69264,29268,38235,1761,15629,29784,36737,25881,14.5,27.6,34,24,80533,88976,59757,64939,16211,19158,1214,1252,1411,1547,73,71,1867,2009,61424,66723,17444,20499,0.2591156039,0.2113487007,0.1889875868,0.1448850124,,,14316.87029,,8967
37003,Alexander County,NorthCarolina,0.908,37497,57.34,17254,5167,11790,297,17060,4591,12207,262,18011,3750,13826,435,4924,10321,7551,3930,18.4,38.6,28.3,14.7,2798,2963,1827,1913,880,950,15,11,6,11,5,5,65,73,1889,1985,920,997,0.2327697958,0.2229664038,0.2089229772,0.1470508804,,,7934.779324,,10076
37005,Alleghany County,NorthCarolina,0.9544760708,11137,48.98,5263,2021,3124,118,5025,1574,3378,73,5214,1300,3789,125,1926,2430,2513,1374,23.4,29.5,30.5,16.7,5519,5618,5257,5373,101,96,38,21,43,46,2,3,78,79,5323,5443,137,132,0.2038371465,0.1990181949,0.2298234552,0.2033867772,,,2519.440106,,2489
37007,Anson County,NorthCarolina,0.4740243803,24446,-13.05,10733,6456,4207,70,11072,6894,4125,53,10394,5785,4480,129,3522,7504,5336,1730,19.5,41.5,29.5,9.6,12532,11914,5986,5602,5992,5854,137,90,199,161,11,5,207,202,6173,5787,6113,5981,0.2637338097,0.2130043174,0.2011314575,0.141469406,,,-1156.240723,,-1305
37009,Ashe County,NorthCarolina,0.9687166857,27203,45.79,13069,4872,7916,281,12486,4100,8207,179,13160,3476,9353,331,3187,6534,6663,3848,15.8,32.3,32.9,19,13331,13872,12875,13477,156,106,56,58,69,69,11,4,164,158,13021,13622,230,186,0.2081001964,0.2029680957,0.2292029496,0.1989105866,,,6348.131375,,5877
37011,Avery County,NorthCarolina,0.929429857,17557,57.71,7943,2178,5681,84,7657,1861,5708,88,8060,1670,6226,164,2325,3900,4198,2701,17.7,29.7,32,20.6,9513,8044,8613,7705,692,130,64,39,47,60,7,7,90,103,8691,7801,729,173,0.2580410176,0.2194329261,0.2111957862,0.1715230304,,,3084.031466,,4556
37013,Beaufort County,NorthCarolina,0.7198791335,46994,24.8,23010,9454,13460,96,23468,9399,13918,151,23599,8699,14478,422,4188,11331,11660,6533,12.4,33.6,34.6,19.4,22322,24672,16351,17479,5234,6408,248,242,112,137,18,17,359,389,16661,17831,5478,6662,0.2169026605,0.191419561,0.2273160201,0.1805405634,,,3955.182635,,5779
37015,Bertie County,NorthCarolina,0.3615348076,18947,-25.15,9763,6365,3376,22,9941,6537,3367,37,9380,5837,3476,67,3095,5529,3966,1945,21.3,38,27.3,13.4,9614,9333,3463,3387,5878,5697,87,50,61,84,13,6,112,109,3542,3468,5960,5768,0.2429197493,0.2014278309,0.2155647707,0.1692191697,,,-2368.701904,,-2361
37017,Bladen County,NorthCarolina,0.6079396125,32722,9.56,15480,7853,7532,95,16351,8277,7947,127,15743,7021,8511,211,4798,8075,7640,3636,19.9,33.4,31.6,15.1,15533,17189,9739,10154,5002,6133,474,541,46,63,7,6,265,292,9952,10401,5167,6290,0.2341384128,0.2012318572,0.2206507172,0.1528130257,,,418.7535151,,1490
37019,Brunswick County,NorthCarolina,0.8652569668,142820,29.45,52608,21331,30753,524,56985,21932,34587,466,67255,23117,42440,1698,9523,28379,32838,28368,9.6,28.6,33.1,28.6,68165,74655,58987,64589,6828,7480,584,611,443,627,97,62,1226,1286,60076,65735,7471,8160,0.2012050254,0.1836903427,0.2481896109,0.21067987,,,15317.37339,,19323
37021,Buncombe County,NorthCarolina,0.8944220896,261191,-15.05,123795,69716,52494,1585,126201,70066,54429,1706,134507,74937,55339,4231,16793,43596,52790,72933,9,23.4,28.4,39.2,125220,135971,111879,121736,7986,8339,673,692,1732,1985,214,198,2736,3021,114398,124526,9455,9967,0.2552495135,0.2080833817,0.2078544508,0.1585049962,,,34710.90762,,-19598
37023,Burke County,NorthCarolina,0.86,90485,39.98,37443,14901,22102,440,36116,13577,22109,430,37638,10930,25741,967,12258,19602,21751,10663,19.1,30.5,33.8,16.6,10648,11735,5561,5706,4799,5703,59,44,57,68,13,13,159,201,5702,5889,4893,5834,0.2414467361,0.2123098508,0.206951978,0.1581180058,,,12957.5285,,14811
37025,Cabarrus County,NorthCarolina,0.734,216453,20.48,77994,31546,45924,524,82445,32453,49125,867,91002,35048,53224,2730,13302,33485,44796,41472,10,25.2,33.7,31.2,105581,110872,77093,79602,19991,22542,752,821,5162,5101,95,113,2488,2693,79366,82043,21635,24310,0.2473694138,0.2340893113,0.1774366859,0.1123678991,,,25792.43495,,18176
37027,Caldwell County,NorthCarolina,0.9227269161,82178,51.92,35155,12081,22526,548,34338,10795,23069,474,35747,8403,26499,845,11913,19103,18775,8965,20.3,32.5,32,15.3,6188,6559,5698,6064,343,348,25,18,33,28,4,2,85,99,5782,6157,397,414,0.2264285887,0.2247072514,0.210427425,0.151962567,,,16049.41394,,18096
37029,Camden County,NorthCarolina,0.825,10897,47.14,4821,1597,3140,84,4520,1456,2995,69,4939,1266,3527,146,1042,2097,2818,1302,14.4,28.9,38.8,17.9,28098,26568,21476,19543,5108,5384,189,188,375,459,52,65,898,929,22264,20365,5587,5900,0.2149193548,0.2440524194,0.2037298387,0.127016129,,,2177.828965,,2261
37031,Carteret County,NorthCarolina,0.9014581204,69473,45.55,34597,11130,23131,336,35124,10197,24598,329,36919,9806,26228,885,4603,13055,19545,14752,8.9,25.1,37.6,28.4,34024,35449,30550,32077,2029,1893,209,230,384,493,62,57,790,699,31282,32708,2417,2233,0.2143096209,0.2033180186,0.2400885413,0.1878384957,,,11304.3159,,16422
37033,Caswell County,NorthCarolina,0.6452840205,22604,11.41,10862,5545,5208,109,10736,5183,5471,82,10515,4549,5758,208,3424,5544,5123,2581,20.5,33.3,30.7,15.5,11487,11117,7371,7215,3740,3555,92,83,71,60,3,3,210,201,7553,7391,3874,3678,0.2219566402,0.2209502243,0.2337820271,0.1548622468,,,431.7078864,,1209
37035,Catawba County,NorthCarolina,0.8385406547,159551,38.98,69451,25656,42993,802,69102,23954,44386,762,71065,21050,48062,1953,16024,33069,35333,23742,14.8,30.6,32.7,21.9,77988,81563,65404,68386,7003,7246,497,470,3423,3772,99,86,1562,1603,66882,69892,8050,8331,0.2410315216,0.2203255105,0.2007596982,0.1390651673,,,22957.5258,,27012
37037,Chatham County,NorthCarolina,0.821,74470,-10.37,32880,17862,14668,350,35157,18252,16578,327,39080,20953,17012,1115,6026,10910,13036,21089,11.8,21.4,25.5,41.3,139068,150362,75276,78247,55780,63374,571,494,4072,4460,190,191,3179,3596,77989,81316,57667,65581,0.2017850276,0.2128653378,0.2214700038,0.1793039354,,,13745.3551,,-3941
37039,Cherokee County,NorthCarolina,0.9317834784,28383,58.26,12586,3785,8643,158,12695,3339,9201,155,13860,2809,10711,340,2912,7354,6879,4086,13.7,34.6,32.4,19.2,12926,13270,12033,12376,558,515,94,87,37,66,5,3,199,223,12218,12589,642,604,0.187812776,0.187279217,0.2432477186,0.2235060347,,,5905.584176,,7902
37041,Chowan County,NorthCarolina,0.6256903106,13943,14.59,7512,3688,3773,51,7424,3507,3872,45,7108,2965,3983,160,1682,3598,3150,2075,16,34.3,30,19.8,6632,7311,4223,4501,2176,2616,44,22,55,61,22,11,112,100,4324,4586,2240,2674,0.215965596,0.1826367424,0.2230882946,0.1931192044,,,707.4813565,,1018
37043,Clay County,NorthCarolina,0.961,11139,52.89,5543,1734,3707,102,5592,1573,3952,67,5885,1352,4395,138,958,2834,2616,1890,11.5,34.2,31.5,22.8,6447,6788,5400,5615,867,957,30,45,19,19,0,0,131,152,5520,5758,949,1046,0.1856584343,0.1786020788,0.2501191952,0.2344807857,,,2572.02427,,3043
37045,Cleveland County,NorthCarolina,0.759,97947,31.11,43835,17363,26078,394,42542,16734,25440,368,44137,14896,28394,847,10650,23073,21169,11566,16,34.7,31.9,17.4,3938,4018,3427,3437,434,484,20,21,4,10,2,1,51,65,3474,3496,460,520,0.241751035,0.2117985818,0.2063061032,0.1473849244,,,9991.694929,,13498
37047,Columbus County,NorthCarolina,0.6314405131,55508,22.32,24282,11076,12994,212,24017,10973,12863,181,23472,8991,14177,304,7262,13660,13310,5144,18.4,34.7,33.8,13.1,27548,27960,17215,17835,8582,8383,1045,1041,140,163,26,22,540,516,17656,18252,8884,8654,0.2475118771,0.2030637722,0.2050403995,0.1483510767,,,2034.648427,,5186
37049,Craven County,NorthCarolina,0.7183837711,102139,22.27,44598,19352,24901,345,45585,18556,26654,375,46231,17481,27556,1194,7957,17478,24669,17352,11.8,25.9,36.6,25.7,51569,50570,37481,35894,10613,11201,373,307,1442,1544,103,97,1557,1527,38832,37211,11502,12082,0.2845840537,0.1801359627,0.1844238677,0.1508092322,,,7502.884573,,10075
37051,Cumberland County,NorthCarolina,0.511,335509,-16.55,127575,74693,52151,731,126092,74991,50191,910,124402,70523,50593,3286,19001,52253,82315,51252,9.3,25.5,40.2,25,5358,5408,5230,5269,28,26,12,12,26,42,2,7,60,52,5286,5317,57,51,0.3311089519,0.1936888791,0.1581353435,0.0928755015,,,-23269.78389,,-19930
37053,Currituck County,NorthCarolina,0.9049094118,27763,51.76,11102,3737,7234,131,11153,3521,7431,201,12423,2879,9070,474,1980,5059,7019,4220,10.8,27.7,38.4,23.1,13837,13926,12506,12617,823,776,111,90,91,140,7,15,299,288,12778,12878,973,922,0.2195194557,0.2396980651,0.2205613438,0.1267701467,,,5211.233583,,6191
37055,Dare County,NorthCarolina,0.9383393229,37009,22.68,18048,8074,9745,229,17614,7258,10102,254,19009,7079,11283,647,1793,6180,9892,8785,6.7,23.2,37.1,33,18153,18856,17013,17714,565,453,93,119,110,216,11,10,361,344,17341,18031,751,630,0.2216081141,0.2243569014,0.2403498457,0.1482581214,,,6450.991453,,4204
37057,Davidson County,NorthCarolina,0.8562368369,167609,49.99,68581,22433,45419,729,69994,20291,48935,768,72013,17328,52870,1815,19082,38062,36809,21270,16.6,33,31.9,18.5,81991,85618,70505,73008,8026,8874,676,666,1211,1506,68,43,1505,1521,71896,74416,8830,9688,0.229256964,0.226757616,0.2048130301,0.1412053998,,,25547.01966,,35542
37059,Davie County,NorthCarolina,0.8998272884,42846,49.5,20368,6178,13981,209,20418,5652,14568,198,21350,5228,15502,620,3979,9386,9680,6863,13.3,31.4,32.4,22.9,20922,21924,18888,19666,1302,1462,164,137,154,212,5,6,409,441,19262,20078,1569,1747,0.20608406,0.220534927,0.2171793867,0.161776232,,,9979.393394,,10274
37061,Duplin County,NorthCarolina,0.7039886961,58741,19.19,19904,8958,10834,112,20375,8923,11330,122,20601,8196,12151,254,10317,12972,12211,4436,25.8,32.5,30.6,11.1,28691,30050,20616,20737,6857,8105,410,394,224,216,130,119,454,479,21027,21164,7116,8379,0.2523534298,0.201521077,0.1923150135,0.1400809857,,,4606.037329,,3955
37063,Durham County,NorthCarolina,0.5404649629,321488,-62.1,136897,103456,32353,1088,143828,109185,33326,1317,150543,118783,27879,3881,24310,36237,49422,99488,11.6,17.3,23.6,47.5,153424,168064,84866,88887,54225,64344,1517,1381,8588,8997,162,167,4066,4288,88141,92271,56645,66984,0.3433750251,0.203123281,0.1663138607,0.09600115326,,,-34585.32739,,-90904
37065,Edgecombe County,NorthCarolina,0.3972645322,51472,-32.52,25930,17403,8445,82,26826,18249,8494,83,24653,16152,8219,282,7438,13628,10885,4629,20.3,37.3,29.8,12.7,23757,27715,9800,10648,13306,16445,216,171,75,90,23,46,337,315,10075,10904,13526,16645,0.2471436199,0.1993059263,0.2107136501,0.1412172985,,,-5244.101152,,-7933
37067,Forsyth County,NorthCarolina,0.667,382295,-10.85,166133,91085,73674,1374,172332,91606,79177,1549,172509,92488,74793,5228,27935,63603,72926,84008,11.2,25.6,29.3,33.8,121103,123149,93866,95711,5274,5387,612,584,18905,19072,87,81,2359,2314,96022,97790,6176,6316,0.2689292408,0.2095726579,0.1890995097,0.1286488759,,,-218.2165216,,-17695
37069,Franklin County,NorthCarolina,0.702,69685,11.95,26639,13085,13273,281,28059,13317,14480,262,29902,12811,16320,771,7114,13198,14976,9526,15.9,29.5,33.4,21.3,15782,15580,14388,14369,776,597,257,265,55,59,26,42,280,248,14657,14608,900,728,0.2400423515,0.2275889886,0.203556183,0.1243319552,,,5788.59551,,3509
37071,Gaston County,NorthCarolina,0.7762783427,224529,32.93,84402,31384,52507,511,89638,32903,55817,918,94872,30982,61467,2423,22783,46018,49695,30712,15.3,30.8,33.3,20.6,108372,116157,84800,89497,18730,21493,700,634,1676,1978,85,70,2381,2485,86998,91784,20207,23061,0.2477358601,0.2245588579,0.197559598,0.13134933,,,20652.15452,,30485
37073,Gates County,NorthCarolina,0.6530012109,11562,9.3,5420,2830,2547,43,5310,2745,2532,33,5328,2371,2851,106,1145,3032,2964,1204,13.7,36.3,35.5,14.4,5725,5837,3754,3796,1751,1861,35,37,21,15,7,5,157,123,3885,3902,1847,1932,0.2223960478,0.2221490325,0.2161383285,0.1478797859,,,799.3133345,,480
37075,Graham County,NorthCarolina,0.885,8484,62.08,4171,1265,2824,82,3910,1115,2743,52,4094,761,3260,73,1151,2249,1827,815,19,37.2,30.2,13.5,20809,18028,17077,14638,555,175,2589,2669,150,138,45,32,393,376,17405,14968,692,326,0.2116963064,0.1941404469,0.2154582763,0.195622435,,,1873.636479,,2499
37077,Granville County,NorthCarolina,0.6451036514,60443,2.57,24725,13074,11447,204,26068,13529,12332,207,26920,12827,13500,593,6522,12936,12677,9243,15.8,31.3,30.6,22.3,30692,29751,19711,19281,9879,9432,290,237,193,232,35,23,584,546,20216,19755,10225,9777,0.246972064,0.2405214265,0.205412488,0.1240571822,,,2690.251552,,673
37079,Greene County,NorthCarolina,0.586,21012,9.64,8103,3796,4272,35,8194,3761,4393,40,8013,3570,4358,85,3870,4861,4640,1571,25.9,32.5,31.1,10.5,3829,4282,735,765,3033,3449,18,13,11,12,0,0,32,43,765,803,3052,3476,0.269346781,0.2152417759,0.1973324536,0.1248468282,,,185.9980553,,788
37081,Guilford County,NorthCarolina,0.5596417548,537174,-20.7,241771,142101,97718,1952,251529,145483,103964,2082,252087,147949,97461,6677,37932,82991,104817,122918,10.9,23.8,30.1,35.3,254212,282962,144895,155730,86831,103307,2018,2122,13928,14390,253,272,6287,7141,150111,161550,91116,108274,0.2876265411,0.2110013017,0.1840348884,0.1219727558,,,-57318.07418,,-50488
37083,Halifax County,NorthCarolina,0.399060188,50010,-27.11,25091,16047,8961,83,25724,16931,8686,107,24881,15642,8954,285,8203,13753,9182,5253,22.5,37.8,25.2,14.4,24099,25911,9756,10201,12753,14131,1035,1001,203,224,17,20,335,334,10032,10462,12969,14364,0.2366402478,0.2025234581,0.2133278674,0.1591873918,,,-4758.14067,,-6688
37085,Harnett County,NorthCarolina,0.7130670118,135976,24.52,40705,16785,23579,341,42343,16858,25070,415,44955,16452,27278,1225,11435,25063,29886,17367,13.7,29.9,35.7,20.7,67259,68717,48200,48760,14629,15206,1206,1141,714,1030,154,156,2356,2424,50242,50849,16068,16710,0.287188736,0.2111818433,0.1642188156,0.1037472211,,,10918.80686,,10826
37087,Haywood County,NorthCarolina,0.958855529,62317,28.76,28067,12730,14910,427,27679,11742,15553,384,30156,10414,18844,898,5383,11993,16512,11287,11.9,26.5,36.6,25,30101,32216,28804,30949,473,389,225,196,156,219,13,18,430,445,29210,31358,623,542,0.2052828903,0.2041666667,0.2223670757,0.2080777096,,,15112.45653,,8430
37089,Henderson County,NorthCarolina,0.925,117417,28.73,51614,20082,30930,602,51961,18519,32860,582,56810,19664,35535,1611,8546,20478,28435,26740,10.1,24.3,33.8,31.8,3231,3415,3153,3307,16,25,13,9,6,26,3,2,40,46,3192,3353,37,53,0.2017932539,0.1932919019,0.2110536553,0.2215854642,,,28947.92242,,15871
37091,Hertford County,NorthCarolina,0.3553237319,23677,-38.08,10650,7513,3089,48,10872,7815,3001,56,10100,6886,3081,133,3477,5307,5496,2451,20.8,31.7,32.8,14.6,11781,11896,4413,4000,6954,7479,139,167,114,66,9,3,152,181,4531,4146,7031,7584,0.2575720666,0.1978887536,0.2123832724,0.1579780755,,,-2934.614012,,-3805
37093,Hoke County,NorthCarolina,0.4902958323,55234,-11.24,15627,9227,6293,107,16800,9915,6721,164,17847,9608,7676,563,4769,9475,13584,6272,14,27.8,39.8,18.4,27240,27994,13712,13369,9594,10000,2351,2667,326,491,113,109,1144,1358,14661,14491,10265,10832,0.3112696583,0.2052944119,0.1509146673,0.07378243752,,,329.5678237,,-1932
37095,Hyde County,NorthCarolina,0.676,4937,14.34,2469,1241,1212,16,2358,1157,1183,18,2273,956,1275,42,709,1602,1182,363,18.4,41.5,30.7,9.4,2638,2299,1790,1672,771,549,25,14,9,24,0,1,43,39,1830,1707,790,567,0.2530388632,0.2200821777,0.2214518062,0.1516863551,,,123.5677732,,319
37097,Iredell County,NorthCarolina,0.822552611,181806,37.77,73162,27318,45148,696,75762,25952,49071,739,80727,24441,54164,2122,13015,33120,39423,32473,11,28.1,33.4,27.5,89488,92318,74051,75494,10622,11807,497,492,2420,2580,67,46,1831,1899,75740,77230,11715,12964,0.2374433865,0.230332154,0.1950332535,0.12727804,,,27199.61351,,29723
