fips_code,County,StateName,White_Pct,total_pop,Pct_Margin,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016,less_than_hs,only_hs,associates,bachelor_or_more,less_than_hs_pct,only_hs_pct,associates_pct,bachelor_or_more_pct,male,female,WA_male,WA_female,BA_male,BA_female,IA_male,IA_female,AA_male,AA_female,NA_male,NA_female,TOM_male,TOM_female,WAC_male,WAC_female,BAC_male,BAC_female,Young_Pct,Mid_Pct,Old_Pct,Elderly_Pct,,,Predicted margin,,
37099,Jackson County,NorthCarolina,0.857,43938,12.27,16866,8766,7854,246,16556,8052,8224,280,18004,7564,9706,734,3141,7205,8407,8226,11.6,26.7,31.2,30.5,25367,26259,23189,23984,893,910,421,432,132,169,34,25,698,739,23868,24688,1086,1132,0.3324215485,0.1733150976,0.1955018616,0.1499126206,,,2495.504885,,2142
37101,Johnston County,NorthCarolina,0.788032808,209339,31.44,71017,26795,43622,600,76021,27052,48206,763,84553,28153,54082,2318,17373,37055,44435,27592,13.7,29.3,35.1,21.8,102577,106762,81271,83695,16977,18680,999,971,858,1114,115,103,2357,2199,83405,85678,18321,19959,0.245192628,0.2379005639,0.1804907002,0.1012167572,,,28701.82091,,25929
37103,Jones County,NorthCarolina,0.664,9419,18.04,5227,2378,2817,32,5192,2335,2825,32,5039,2041,2941,57,1337,2213,2771,950,18.4,30.4,38.1,13.1,13898,14837,10121,10683,3433,3820,49,58,81,93,2,3,212,180,10310,10844,3560,3937,0.226182249,0.1975515846,0.2302300326,0.1707967223,,,377.3027592,,900
37105,Lee County,NorthCarolina,0.747,61779,13.41,23788,10784,12775,229,23800,10577,13000,223,24676,10380,13625,671,6663,10936,14225,8421,16.6,27.2,35.3,20.9,80840,83702,58022,58389,17413,20325,323,274,3614,3246,77,70,1391,1398,59282,59616,18083,21029,0.2567150113,0.2060404559,0.1866502609,0.135434665,,,7138.305461,,3245
37107,Lenoir County,NorthCarolina,0.5542547677,55949,3.73,26897,13378,13401,118,27247,13350,13763,134,25500,11752,13354,394,7800,12800,13430,5785,19.6,32.1,33.7,14.5,26737,29212,15282,15728,10586,12603,186,171,178,235,63,45,442,430,15665,16089,10863,12882,0.2352644243,0.1974979388,0.2123555047,0.1574094328,,,-113.1316614,,1602
37109,Lincoln County,NorthCarolina,0.915,86111,48.86,35798,11713,23631,454,36532,10980,25184,368,39449,9836,28653,960,8357,18013,19152,12375,14.4,31.1,33.1,21.4,7995,5029,4986,3812,2834,1077,44,28,32,15,1,0,98,97,5076,3901,2878,1123,0.2270516363,0.2362413583,0.2110133987,0.1304979441,,,17084.01041,,18817
37113,Macon County,NorthCarolina,0.953,35285,42.65,17238,6620,10317,301,16750,5692,10817,241,17336,4841,12035,460,2938,7914,8768,6252,11.4,30.6,33.9,24.2,8218,9850,1579,1551,6442,8080,19,30,71,37,2,1,105,151,1663,1662,6499,8173,0.2031370001,0.1755922491,0.2296183612,0.2337389969,,,8214.014286,,7194
37115,Madison County,NorthCarolina,0.96,21755,26.68,10379,5026,5192,161,10023,4466,5379,178,10966,3899,6735,332,2229,4678,4136,4213,14.6,30.7,27.1,27.6,182366,190543,128106,128722,43203,49506,1491,1507,4532,5446,197,195,4837,5167,132437,133271,45496,52062,0.2345141309,0.2025019357,0.2239401858,0.1735869144,,,4611.060861,,2836
37117,Martin County,NorthCarolina,0.552,22671,0.43,12541,6539,5957,45,12541,6514,5963,64,11852,5814,5874,164,2767,5712,5301,2788,16.7,34.5,32,16.8,79574,81426,71287,73714,4938,4213,887,691,1036,1383,166,122,1260,1303,72438,74874,5539,4847,0.2149094173,0.2012812143,0.2291904684,0.1720254611,,,-235.402192,,60
37111,McDowell County,NorthCarolina,0.9233761692,45756,51.47,18386,6571,11534,281,17953,6006,11732,215,19557,4645,14517,395,5283,10909,10901,5498,16.2,33.5,33.4,16.9,22798,22958,20896,21354,1102,814,201,185,247,241,16,7,336,357,21212,21687,1290,1011,0.2289771714,0.2162364009,0.2118668629,0.1612270376,,,8809.449009,,9872
37119,Mecklenburg County,NorthCarolina,0.5733512495,1110356,-30.89,410817,253958,153848,3011,445062,270705,170490,3867,461834,292258,154303,15273,69881,122374,196799,315345,9.9,17.4,27.9,44.8,533670,576686,313613,323011,166548,199598,4498,4464,35492,34562,515,579,13004,14472,324625,335053,174935,209174,0.3062937341,0.2290156464,0.1645360645,0.0869579127,,,-196211.2471,,-137955
37121,Mitchell County,NorthCarolina,0.963,15000,59.48,7846,2238,5499,109,7673,1810,5778,85,7948,1585,6225,138,1721,3744,3580,2091,15.5,33.6,32.1,18.8,11308,10555,5516,5270,5496,5002,75,53,92,89,7,9,122,132,5625,5383,5557,5085,0.2086270991,0.2027624664,0.2251313934,0.2031149853,,,3989.092114,,4640
37123,Montgomery County,NorthCarolina,0.765,27271,26.42,11210,4926,6155,129,11178,4689,6389,100,11449,4108,7070,271,3933,6628,5637,2795,20.7,34.9,29.7,14.7,106394,120092,39387,41035,61404,72952,372,393,3607,3817,108,107,1516,1788,40607,42412,62343,74094,0.237130832,0.2015180402,0.2061225224,0.1536386201,,,3217.903831,,2962
37125,Moore County,NorthCarolina,0.8310765266,100880,30.25,45328,17624,27314,390,46044,16371,29336,337,47746,16148,30273,1325,6633,15230,21771,25502,9.6,22,31.5,36.9,48765,52115,40784,43055,5573,6528,514,501,719,876,90,80,1085,1075,41749,43981,6157,7134,0.2029761427,0.1886743783,0.2033487338,0.2248501038,,,21323.45326,,14125
37127,Nash County,NorthCarolina,0.546978727,94298,0.18,47118,23099,23728,291,48235,24214,23769,252,46903,23024,23142,737,9439,21746,19963,13505,14.6,33.6,30.9,20.9,45143,49155,25239,26340,18067,20844,471,506,461,444,77,20,828,1001,25943,27148,18603,21555,0.2423663518,0.2132408043,0.2097999894,0.1373898359,,,-1815.532571,,118
37129,New Hanover County,NorthCarolina,0.8220903899,234473,4.11,100665,49145,50544,976,102067,48038,52792,1237,108737,50219,54665,3853,10768,32914,49018,59967,7.1,21.6,32.1,39.3,111563,122910,92287,100471,14565,16930,594,714,1657,2028,117,125,2343,2642,94383,102781,15770,18351,0.3037974684,0.2024242878,0.1904151999,0.1367388211,,,14034.70099,,4446
37131,Northampton County,NorthCarolina,0.4036339373,19483,-26.34,10618,6903,3671,44,10719,7210,3474,35,9761,6113,3556,92,3088,5964,4052,1925,20.5,39.7,27,12.8,9537,9946,3915,3949,5405,5744,67,63,29,30,3,3,118,157,4022,4077,5482,5844,0.2162983801,0.1953582286,0.2276192205,0.1916602387,,,-1816.997078,,-2557
37133,Onslow County,NorthCarolina,0.7618496701,197938,35.89,50203,19499,30278,426,50353,18115,31695,543,55364,17156,36342,1866,9045,30077,42008,22050,8.8,29.2,40.7,21.4,108732,89206,83891,66908,16609,14600,1038,827,2033,2419,325,278,4836,4174,88240,70619,19266,17014,0.4388373342,0.1540461034,0.1214680135,0.07335685252,,,1553.480063,,19186
37135,Orange County,NorthCarolina,0.766,148476,-52.71,74910,53806,20266,838,75848,53404,21398,1046,79830,59105,18373,2352,6478,13182,18090,51193,7.3,14.8,20.3,57.6,1566825,1608867,1125286,1133419,35120,32921,16519,15947,326088,363553,6251,6054,57561,56973,1178172,1185627,45980,43855,0.3557992663,0.199542412,0.1812464546,0.09334039254,,,-807.2203803,,-40732
37137,Pamlico County,NorthCarolina,0.7764419299,12726,26.99,6712,2838,3823,51,6712,2632,4032,48,6772,2427,4225,120,1192,3011,3813,1928,12,30.3,38.3,19.4,6479,6247,4945,4936,1319,1092,55,44,33,43,23,2,104,130,5041,5053,1382,1173,0.1965538274,0.1918648978,0.2477508387,0.214547118,,,1361.938577,,1798
37139,Pasquotank County,NorthCarolina,0.5846976697,39824,-2.59,18180,10272,7778,130,17343,9970,7216,157,16964,8455,8082,427,3625,8466,9225,5498,13.5,31.6,34.4,20.5,19487,20337,11563,11722,6933,7644,142,111,318,312,16,15,515,533,12017,12179,7259,7976,0.2926368013,0.1980302584,0.1868061696,0.133510168,,,-43.69862623,,-373
37141,Pender County,NorthCarolina,0.814779575,63060,30.69,23749,9907,13618,224,24036,9455,14368,213,27072,9086,17317,669,5189,12059,13349,11001,12.5,29,32.1,26.4,31400,31660,25651,25729,4578,4715,303,251,173,260,29,23,666,682,26252,26322,4916,5081,0.2326011606,0.2172664252,0.2157280835,0.1491802002,,,7694.426732,,8231
37143,Perquimans County,NorthCarolina,0.7459704375,13463,28.6,6501,2772,3678,51,6621,2747,3814,60,6595,2291,4143,161,1361,3112,3581,2060,13.5,30.8,35.4,20.4,6445,7018,4877,5166,1406,1644,32,36,30,39,0,2,100,131,4970,5281,1466,1731,0.2066381958,0.1836742339,0.2280287705,0.2139806698,,,1592.611079,,1852
37145,Person County,NorthCarolina,0.6996708027,39490,17.63,18632,8446,10030,156,19008,8384,10467,157,19303,7772,11116,415,3813,10112,9727,4272,13.7,36.2,34.8,15.3,19093,20397,13512,14118,4964,5614,178,171,87,81,4,6,348,407,13821,14478,5224,5908,0.2272808655,0.2175998158,0.2159372842,0.1495766939,,,3419.133842,,3344
37147,Pitt County,NorthCarolina,0.5910192429,180742,-7.91,74884,40501,33927,456,76814,40701,35534,579,78264,40967,35191,2106,11323,25219,36324,34023,10.6,23.6,34,31.8,84780,95962,51369,55453,29004,35850,502,458,1829,2013,133,134,1943,2054,53045,57188,30293,37241,0.3623589021,0.1878014848,0.1626681328,0.09771448707,,,-11486.0401,,-5776
37149,Polk County,NorthCarolina,0.9378881988,20611,28.88,10562,4396,5990,176,10323,4000,6219,104,10723,3715,6738,270,1433,4108,5248,5014,9.1,26,33.2,31.7,9747,10217,9140,9584,73,51,216,204,59,132,8,2,251,244,9381,9818,119,92,0.1757916543,0.1920193351,0.2337476571,0.2425766992,,,5644.341827,,3023
37151,Randolph County,NorthCarolina,0.889,143667,57.86,58147,16414,40998,735,60202,14675,44913,614,63615,13074,49156,1385,18335,33355,31381,15559,18.6,33.8,31.8,15.8,11078,11644,8724,8995,2060,2310,47,60,43,61,17,9,187,209,8898,9188,2167,2432,0.2364167727,0.2223837933,0.1991886684,0.1381183648,,,26200.1892,,36082
37153,Richmond County,NorthCarolina,0.614,44829,9.97,19327,9713,9424,190,19127,9747,9236,144,18813,8290,10199,324,6035,10681,9590,4264,19.7,34.9,31.4,13.9,98225,104293,38563,36664,54689,62258,439,421,1568,1977,234,237,2732,2736,40847,38900,56499,64152,0.2531648281,0.2043590018,0.198361358,0.1419942166,,,1694.122551,,1909
37155,Robeson County,NorthCarolina,0.3058066986,130625,4.39,40834,23058,17433,343,41380,23957,17093,330,39454,18377,20294,783,19647,29092,25599,11320,22.9,34,29.9,13.2,62923,67702,19519,20427,14711,16102,26406,28816,405,458,111,86,1771,1813,20874,21790,15637,17064,0.2860425647,0.1985701627,0.181831153,0.1100614289,,,-12597.24349,,1917
37157,Rockingham County,NorthCarolina,0.776,91010,30.69,41612,17255,23899,458,41549,16170,25037,342,41374,14057,26463,854,11394,22602,21679,9789,17.4,34.5,33.1,15,153423,156346,145501,148448,1993,1442,355,329,3100,3815,72,80,2402,2232,147827,150612,2794,2200,0.2231728367,0.2189593988,0.2152498579,0.159767564,,,10706.92067,,12406
37159,Rowan County,NorthCarolina,0.795,142088,37.63,61560,23391,37451,718,61803,22529,38622,652,63078,19208,42388,1482,14118,31477,32308,17953,14.7,32.8,33.7,18.7,11782,12678,11264,12209,236,200,30,23,74,126,1,4,177,116,11433,12316,336,266,0.2526133163,0.210473591,0.1970077528,0.142658033,,,16692.67804,,23180
37161,Rutherford County,NorthCarolina,0.8699816497,67029,48.87,28720,9641,18769,310,28373,9277,18797,299,29764,7451,21694,619,8245,15142,15844,8193,17.4,31.9,33.4,17.3,32353,34676,28133,30181,3192,3416,147,121,190,224,25,23,666,711,28752,30829,3643,3906,0.2227560765,0.208037069,0.213243388,0.1704995091,,,11634.9227,,14243
37163,Sampson County,NorthCarolina,0.6655805827,63531,16.9,26038,11836,14038,164,26005,11496,14358,151,25638,10486,14761,391,9492,14171,13427,5427,22.3,33.3,31.6,12.8,31245,32286,21006,21279,8047,8823,1161,1184,183,216,99,83,749,701,21656,21876,8481,9241,0.2480534454,0.2080483914,0.1906912835,0.1399308243,,,5108.859886,,4275
37165,Scotland County,NorthCarolina,0.451,34823,-7.83,14217,8151,6005,61,14020,8131,5799,90,13743,7279,6212,252,4771,8063,7165,3675,20.2,34.1,30.3,15.5,2420,2482,2376,2433,1,4,7,10,3,8,0,0,33,27,2408,2458,17,18,0.2536471236,0.2008532893,0.2053674649,0.1323974677,,,-1842.796724,,-1067
37167,Stanly County,NorthCarolina,0.8436455116,62806,51.17,28506,8878,19329,299,28276,8287,19698,291,29451,7008,21788,655,6359,14813,14742,6741,14.9,34.7,34.6,15.8,31355,31451,26318,26668,3654,3485,160,135,655,616,91,70,477,477,26768,27107,3976,3814,0.2432522216,0.2120255793,0.2019931899,0.1548708579,,,10582.80212,,14780
37169,Stokes County,NorthCarolina,0.9372244522,45591,57.16,21743,6875,14488,380,21396,5969,15142,285,22182,4645,16976,561,5529,13815,9787,4471,16.5,41.1,29.1,13.3,22321,23270,20871,21858,950,914,115,100,86,102,7,6,292,290,21145,22120,1111,1065,0.2163016051,0.2292890312,0.2191747418,0.1548101185,,,10347.87942,,12331
37171,Surry County,NorthCarolina,0.929008261,71783,51.94,29525,10475,18730,320,29096,9005,19753,338,31663,7438,23495,730,10995,14834,16350,8498,21.7,29.3,32.3,16.8,34955,36828,32447,34240,1500,1530,250,223,233,332,25,38,500,465,32903,34651,1784,1776,0.2243645686,0.2145671976,0.2036585033,0.164298571,,,15972.35214,,16057
37173,Swain County,NorthCarolina,0.6306495691,14271,23.76,5798,2806,2900,92,5705,2618,2976,111,5982,2186,3557,239,2141,3067,3076,1573,21.7,31.1,31.2,16,6841,7430,4330,4670,87,81,2010,2287,50,52,4,1,360,339,4669,4984,165,149,0.2363675707,0.1974538373,0.2101485863,0.1627957299,,,668.0978919,,1371
37175,Transylvania County,NorthCarolina,0.9342155009,34385,23.2,16909,7275,9401,233,16469,6740,9522,207,17440,6520,10441,479,2900,6837,7641,7987,11.4,27,30.1,31.5,16563,17822,15379,16744,672,535,89,68,101,123,12,10,310,342,15660,17050,843,717,0.2097718678,0.17117543,0.2213157253,0.2534158839,,,8317.956535,,3921
37177,Tyrrell County,NorthCarolina,0.5669820717,4016,15.04,1910,933,960,17,1775,835,929,11,1700,705,968,27,809,1298,877,320,24.5,39.3,26.5,9.7,2267,1749,1177,1100,994,537,22,16,38,40,1,0,35,56,1209,1152,1018,571,0.2712018141,0.2119047619,0.2026077098,0.1659863946,,,-43.73842064,,263
37179,Union County,NorthCarolina,0.816,239859,32.04,86089,31189,54123,777,93389,32032,60468,889,103596,34051,66265,3280,14675,35959,43240,50162,10.2,25,30,34.8,18841,19841,12278,12488,5999,6766,100,107,124,139,10,10,330,331,12592,12796,6152,6914,0.229844001,0.2454084399,0.1749124754,0.0952713897,,,45237.12214,,32214
37181,Vance County,NorthCarolina,0.4507915123,44535,-25.03,20871,13166,7606,99,20770,13286,7406,78,19762,12168,7304,290,5998,11076,8994,3867,20,37,30,12.9,20780,23755,9634,10442,10402,12550,266,175,124,211,9,17,345,360,9919,10739,10635,12794,0.250933351,0.2034373826,0.1983564186,0.1388207745,,,-1816.79017,,-4864
37183,Wake County,NorthCarolina,0.6785190342,1111761,-21.38,442245,250891,187001,4353,526805,286939,232933,6933,510940,298353,193607,18980,50481,107053,177117,360231,7.3,15.4,25.5,51.8,540765,570996,371942,382409,107856,126000,4508,4277,42404,43016,408,453,13647,14841,383988,395310,115290,134326,0.2917546898,0.236249694,0.1689641455,0.08344137887,,,-144132.6382,,-104746
37185,Warren County,NorthCarolina,0.3949371907,19807,-33.23,10195,7086,3063,46,9777,6635,3111,31,10123,6668,3302,153,2813,4909,4456,2239,19.5,34.1,30.9,15.5,2485,2769,1018,1057,1409,1656,9,8,22,15,0,0,27,33,1042,1087,1425,1675,0.22724869,0.192202298,0.2310946589,0.1857603,,,-2528.477442,,-3366
37187,Washington County,NorthCarolina,0.48,11859,-15.57,6454,3748,2670,36,6456,3811,2615,30,6115,3490,2560,65,1683,2998,2759,946,20.1,35.8,32.9,11.3,8001,8325,5336,5440,1812,1992,594,710,153,34,10,11,96,138,5425,5561,1849,2047,0.2144529185,0.1896473609,0.2261949709,0.1794155403,,,-492.7870602,,-930
37189,Watauga County,NorthCarolina,0.9482350428,56177,-1.58,28372,14558,13344,470,28168,13371,14124,673,28769,13953,13521,1295,3243,6294,8558,12889,10.5,20.3,27.6,41.6,27992,28185,26549,26720,586,456,124,107,277,371,13,10,443,521,26954,27191,757,647,0.4447836236,0.1500468865,0.1684623212,0.1220646037,,,958.2501752,,-432
37191,Wayne County,NorthCarolina,0.629,123131,11.7,49882,22671,26952,259,50988,23154,27536,298,49824,21520,27360,944,13051,25056,27947,16051,15.9,30.5,34,19.5,15336,14591,11533,11291,3238,2794,127,59,108,123,18,14,312,310,11808,11570,3441,2988,0.2722647146,0.2020976266,0.1875800151,0.1291648886,,,3518.080753,,5840
37193,Wilkes County,NorthCarolina,0.928,68412,56.31,29724,8934,20288,502,28852,8089,20410,353,30844,6596,23613,635,10522,15436,15483,7626,21.4,31.5,31.6,15.5,4669,5108,2678,2774,1861,2157,10,13,45,42,2,0,73,122,2747,2890,1912,2243,0.2193554922,0.2135818369,0.2150433386,0.1654969829,,,14138.13775,,17017
37195,Wilson County,NorthCarolina,0.56,81801,-5.73,37191,19652,17375,164,38890,20745,17904,241,37593,19527,17410,656,10880,17631,15920,10821,19.7,31.9,28.8,19.6,4222,4303,3997,4055,27,18,65,76,11,33,2,5,120,116,4113,4166,62,50,0.2514719189,0.2043457243,0.1994000768,0.1399779367,,,385.8479249,,-2117
37197,Yadkin County,NorthCarolina,0.93933682,37667,62.91,17147,4527,12409,211,16657,3928,12500,229,17350,3140,13815,395,5052,9234,9335,3012,19,34.7,35.1,11.3,18654,19013,17470,17912,667,618,140,133,77,96,23,25,277,229,17723,18123,830,755,0.2218853723,0.2206570316,0.2044533884,0.1597365601,,,9289.474365,,10675
37199,Yancey County,NorthCarolina,0.964137473,18069,33.28,9717,4486,5045,186,9344,3954,5249,141,9808,3181,6367,260,2076,4278,4146,2619,15.8,32.6,31.6,20,8890,9179,8537,8884,123,82,72,65,22,35,32,20,104,93,8629,8967,175,129,0.206915846,0.2013764548,0.2275626679,0.2009288272,,,4844.34276,,3186
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218876.1045,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04656938395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,